iter	Passed	Remaining
402	4146	6142
403	4170	6152
404	4175	6134
405	4179	6115
406	4183	6094
407	4186	6074
408	4190	6055
409	4194	6036
410	4199	6018
411	4213	6012
412	4221	6000
413	4227	5983
414	4232	5966
415	4236	5947
416	4266	5965
417	4272	5948
418	4275	5929
419	4280	5911
420	4285	5894
421	4289	5875
422	4294	5857
423	4299	5841
424	4304	5823
425	4310	5808
426	4315	5790
427	4319	5773
428	4323	5755
429	4327	5736
430	4333	5720
431	4337	5703
432	4343	5687
433	4350	5673
434	4354	5655
435	4358	5637
436	4365	5623
437	4373	5612
438	4380	5597
439	4384	5580
440	4388	5562
441	4392	5544
442	4397	5528
443	4401	5511
444	4407	5496
445	4412	5481
446	4416	5463
447	4422	5448
448	4427	5433
449	4431	5416
450	4435	5398
451	4440	5383
452	4447	5369
453	4452	5354
454	4457	5338
455	4461	5323
456	4466	5306
457	4470	5290
458	4477	5277
459	4482	5262
460	4488	5248
461	4492	5231
462	4498	5217
463	4504	5203
464	4509	5187
465	4516	5175
466	4521	5160
467	4535	5155
468	4545	5145
469	4556	5138
470	4562	5124
471	4566	5108
472	4584	5107
473	4594	5098
474	4601	5085
475	4605	5069
476	4618	5064
477	4626	5052
478	4631	5037
479	4635	5021
480	4642	5008
481	4646	4993
482	4652	4979
483	4656	4964
484	4660	4948
485	4664	4933
486	4673	4922
487	4699	4930
488	4704	4915
489	4707	4900
490	4711	4884
491	4715	4868
492	4720	4854
493	4723	4838
494	4728	4823
495	4733	4809
496	4737	4795
497	4741	4779
498	4745	4764
499	4750	4750
500	4755	4736
501	4761	4723
502	4766	4709
503	4769	4694
504	4772	4678
505	4776	4663
506	4779	4647
507	4783	4632
508	4785	4616
509	4787	4600
510	4791	4584
511	4794	4569
512	4797	4554
513	4805	4543
514	4814	4533
515	4818	4520
516	4823	4506
517	4826	4490
518	4829	4475
519	4833	4461
520	4841	4451
521	4848	4440
522	4852	4426
523	4858	4413
524	4863	4400
525	4869	4388
526	4873	4374
527	4877	4359
528	4881	4346
529	4893	4339
530	4896	4324
531	4901	4311
532	4906	4299
533	4910	4285
534	4915	4272
535	4919	4258
536	4924	4245
537	4927	4231
538	4959	4241
539	4963	4227
540	4966	4213
541	4969	4199
